AccSpeciesName,TraitName,ValueKindName,StdValue,UnitName
Claytonia perfoliata,"Leaf area (in case of compound leaves: leaflet, petiole included)",Mean,842.57,mm2
Claytonia perfoliata,"Leaf area (in case of compound leaves: leaflet, petiole included)",Maximum,1050,mm2
Claytonia perfoliata,"Leaf area (in case of compound leaves: leaflet, petiole included)",Minimum,562,mm2
Claytonia perfoliata,"Leaf area (in case of compound leaves: leaflet, petiole included)",Median,958,mm2
Claytonia perfoliata,"Leaf area (in case of compound leaves: leaflet, petiole included)",Best estimate,723,mm2
Claytonia perfoliata,"Leaf area (in case of compound leaves: leaflet, petiole included)",Mean,757.83,mm2
Claytonia perfoliata,"Leaf area (in case of compound leaves: leaflet, petiole included)",Maximum,990,mm2
Claytonia perfoliata,"Leaf area (in case of compound leaves: leaflet, petiole included)",Minimum,565,mm2
Claytonia perfoliata,"Leaf area (in case of compound leaves: leaflet, petiole included)",Median,723,mm2
Phacelia tanacetifolia,"Leaf area (in case of compound leaves: leaflet, petiole included)",Best estimate,3123,mm2
Phacelia tanacetifolia,"Leaf area (in case of compound leaves: leaflet, petiole included)",Mean,3874.27,mm2
Phacelia tanacetifolia,"Leaf area (in case of compound leaves: leaflet, petiole included)",Maximum,8337.62,mm2
Phacelia tanacetifolia,"Leaf area (in case of compound leaves: leaflet, petiole included)",Minimum,1507,mm2
Phacelia tanacetifolia,"Leaf area (in case of compound leaves: leaflet, petiole included)",Median,3123,mm2
Collinsia parryi,Seed dry mass,Single,0.92,mg
Collinsia parryi,Seed dry mass,Single,0.92,mg
Collinsia parryi,Seed dry mass,Single,0.92,mg
Collinsia parryi,Seed dry mass,Single,0.92,mg
Collinsia parviflora,Seed dry mass,Single,1.2,mg
Collinsia parviflora,Seed dry mass,Single,0.755,mg
Collinsia parviflora,Seed dry mass,Single,1.43,mg
Collinsia parviflora,Seed dry mass,Single,1.53,mg
Collinsia parviflora,Seed dry mass,Single,1.95,mg
Collinsia parviflora,Seed dry mass,Single,1.293995859,mg
Collinsia parviflora,Seed dry mass,Single,2,mg
Collinsia parviflora,Seed dry mass,Single,2,mg
Collinsia parviflora,Seed dry mass,Single,1.2,mg
Collinsia parviflora,Seed dry mass,Single,1.2,mg
Collinsia parviflora,Seed dry mass,Single,2,mg
Collinsia parviflora,Seed dry mass,Single,2,mg
Collinsia parviflora,Seed dry mass,Single,2,mg
Collinsia parviflora,Seed dry mass,Single,2,mg
Collinsia tinctoria,Seed dry mass,Single,1.8,mg
Collinsia tinctoria,Seed dry mass,Single,1.823,mg
Collinsia tinctoria,Seed dry mass,Single,1.8,mg
Collinsia tinctoria,Seed dry mass,Single,1.8,mg
Collinsia tinctoria,Seed dry mass,Single,1.8,mg
Collinsia tinctoria,Seed dry mass,Single,1.8,mg
Collinsia tinctoria,Seed dry mass,Single,1.8,mg
Collinsia tinctoria,Seed dry mass,Single,1.8,mg
Collinsia tinctoria,Seed dry mass,Single,1.8,mg
Collinsia tinctoria,Seed dry mass,Single,1.8,mg
Festuca arundinacea,Seed dry mass,Single,2.3,mg
Festuca arundinacea,Seed dry mass,Single,1.88,mg
Festuca arundinacea,Seed dry mass,Single,2.71,mg
Festuca arundinacea,Seed dry mass,Single,2.9,mg
